key;source;destination;count
('PL', 'LT');PL;LT;5
('UA', 'FR');UA;FR;5
('SG', 'IN');SG;IN;5
('IE', 'IN');IE;IN;5
('BE', 'IN');BE;IN;5
('CO', 'DE');CO;DE;5
('CO', 'US');CO;US;5
('CO', 'BE');CO;BE;5
('CO', 'NL');CO;NL;5
('IN', 'NL');IN;NL;5
('IN', 'GB');IN;GB;5
('IN', 'SE');IN;SE;5
('SG', 'GB');SG;GB;5
('SG', 'SE');SG;SE;5
('SG', 'HK');SG;HK;5
('FR', 'IR');FR;IR;1
('AR', 'DE');AR;DE;1
('AR', 'US');AR;US;1
('AR', 'IE');AR;IE;1
('IR', 'FR');IR;FR;1
('IR', 'CA');IR;CA;1
