,resolutions_count,subdomains_count,dns_records_count,https_validity,ssl_exists
asvabtutor.com,1.0,3.0,10.0,1602026606,1
atavatan-turkmenistan.com,3.0,3.0,0.0,43200,0
aternos.org,15.0,100.0,9.0,1578527999,1
athleticscanada.tv,4.0,2.0,5.0,1573084799,1
atlanticteen.wordpress.com,2.0,0.0,0.0,43200,0
atlasmission.com,4.0,5.0,8.0,43200,0
atlassian.net,36.0,100.0,13.0,1576843200,1
atri.edu.in,3.0,5.0,6.0,1571601403,1
att.com,2.0,100.0,13.0,1594728000,1
atube.me,6.0,7.0,10.0,1592697599,1
auction.co.kr,2.0,100.0,9.0,43200,0
audible.com,9.0,50.0,21.0,1590753600,1
audiovitamins.com,3.0,4.0,8.0,1569329819,1
aulatutorial.com,2.0,9.0,7.0,1585470118,1
ausgamers.com,6.0,11.0,7.0,1593043199,1
austemcells.com,2.0,2.0,0.0,43200,0
austinhotmods.com,5.0,1.0,6.0,1573374794,1
austinrelocationguide.com,2.0,4.0,7.0,1573484340,1
auto.ru,3.0,100.0,13.0,1584203480,1
autocannibalism.wordpress.com,2.0,1.0,0.0,43200,0
autodoplnkyfro.cz,2.0,1.0,8.0,1572653044,1
autokseft.cz,3.0,1.0,9.0,1582243199,1
autosecurite.com,2.0,100.0,8.0,1575849599,1
autotrader.ca,6.0,100.0,16.0,1581724799,1
autotrader.co.uk,6.0,100.0,12.0,1576324800,1
autovokzal.org,3.0,6.0,11.0,1591228799,1
autozone.com,3.0,100.0,12.0,1573041600,1
avaz.ba,17.0,34.0,13.0,1583366399,1
avery-zweckform.com,45.0,26.0,12.0,1568622420,1
avg.com,25.0,100.0,24.0,1595505600,1
avgle.com,236.0,8.0,13.0,1584100800,1
aviateworld.com,4.0,8.0,12.0,1608120000,1
avis.se,4.0,8.0,10.0,1569433397,1
avistacu.com,1.0,1.0,5.0,1586810881,1
avito.ma,5.0,100.0,17.0,1596239999,1
avkimia.com,4.0,1.0,9.0,1573482787,1
avrae.io,4.0,8.0,10.0,1583366399,1
awagnerco.com,3.0,2.0,7.0,1571606616,1
awardhacker.com,2.0,1.0,15.0,1583452799,1
aweber.com,3.0,100.0,23.0,1613304000,1
axisbank.com,252.0,100.0,17.0,1591444800,1
axitea.it,2.0,31.0,9.0,1586347200,1
ay9244.com,8.0,4.0,4.0,1569974399,1
aydinsaat.com,2.0,4.0,6.0,1585572901,1
aylinglobal.in,4.0,7.0,6.0,43200,0
ayselhuseynova.com,3.0,1.0,8.0,1583539199,1
azartnie-avtomaty.com,3.0,13.0,7.0,43200,0
aztecaamerica.com,2.0,10.0,17.0,43200,0
azure.com,10.0,100.0,22.0,1585947713,1
b-ok.cc,3.0,18.0,4.0,1569073945,1
b-ok.org,6.0,26.0,5.0,1569073597,1
b2s.com,2.0,28.0,6.0,43200,0
b9good.com,4.0,39.0,5.0,43200,0
bab.la,1.0,100.0,9.0,1570406399,1
babe8.net,6.0,3.0,11.0,1598356800,1
baby.tmall.com,58.0,1.0,16.0,43200,0
babycenter.com,1.0,59.0,14.0,1574035199,1
babyhintsandtips.com,14.0,3.0,12.0,1582847999,1
backingtrackmp3x.com,3.0,1.0,9.0,1571313600,1
backsaverwallet.com,3.0,1.0,8.0,1579807945,1
bag.tmall.com,54.0,0.0,0.0,43200,0
bahag.com,3.0,8.0,12.0,1624406399,1
baiducontent.com,8.0,4.0,9.0,1584446400,1
baixarfilmetorrent.com,22.0,3.0,7.0,1582847999,1
ballisticsbytheinch.com,2.0,1.0,0.0,43200,0
baloncestobcb.com,5.0,6.0,7.0,1572431286,1
bama.ir,51.0,12.0,10.0,1570628430,1
bamada-city.com,2.0,1.0,9.0,43200,0
bamilo.com,28.0,28.0,12.0,1582847999,1
bancrecerdigital.com,6.0,1.0,4.0,43200,0
band.us,1.0,57.0,5.0,1569801599,1
bandcamp.com,13.0,100.0,18.0,1586031401,1
banggood.com,11.0,100.0,12.0,1608724800,1
bankableproperties.com,5.0,1.0,12.0,1587902400,1
bankbazaar.com,8.0,62.0,18.0,1582675199,1
banquet-halls.org,2.0,2.0,5.0,43200,0
barclaycardus.com,1.0,95.0,15.0,1571154898,1
barelist.com,2.0,22.0,11.0,43200,0
bartleby.com,1000.0,11.0,20.0,1580644800,1
basketball-reference.com,2.0,2.0,12.0,1572773573,1
baskino.me,3.0,2.0,12.0,43200,0
bata.in,326.0,6.0,17.0,1600603200,1
batmanstream.sx,2.0,0.0,8.0,1581422400,1
battle.net,4.0,100.0,13.0,1605096000,1
baysidekia.net,2.0,3.0,6.0,1571453332,1
bayt.com,3.0,100.0,19.0,1624878060,1
bayviewglen-my.sharepoint.com,0.0,0.0,0.0,43200,0
bazardesportivo.com,5.0,5.0,11.0,1572955200,1
bazaryad.com,4.0,1.0,6.0,1572694648,1
bazos.cz,1.0,41.0,6.0,1623715200,1
bazos.sk,1.0,50.0,5.0,1625616000,1
bbc.com,15.0,100.0,30.0,1596620164,1
bbcgoodfood.com,28.0,11.0,10.0,1593864000,1
bcgemshow.com,1.0,1.0,4.0,1574467199,1
bchighway.com,3.0,1.0,0.0,43200,0
bcmountainresort.com,3.0,2.0,6.0,1569609780,1
bctimberframe.ca,3.0,1.0,6.0,43200,0
bd-film.cc,6.0,2.0,6.0,1573387200,1
bd-pratidin.com,10.0,5.0,12.0,1570492799,1
bd24live.com,26.0,15.0,8.0,1572186985,1
